id,characteristic_id,review_id,value
1,1,1,4
2,2,1,3
3,3,1,5
4,4,1,4
5,1,2,4
6,2,2,4
7,3,2,5
8,4,2,4
9,5,3,4
10,5,4,5
11,5,5,5
12,5,6,3
13,5,7,4
14,10,8,2
15,11,8,3
16,12,8,2
17,13,8,1
18,10,9,4
19,11,9,3
20,12,9,4
21,13,9,5
22,10,10,5
23,11,10,5
24,12,10,5
25,13,10,5
26,14,11,5
27,15,11,5
28,16,11,5
29,17,11,5
30,14,12,3
31,15,12,2
32,16,12,3
33,17,12,2
34,22,13,3
35,23,13,4
36,24,13,5
37,25,13,4
38,22,14,2
39,23,14,5
40,24,14,5
41,25,14,3
42,39,15,3
43,40,15,3
44,41,15,3
45,42,15,4
46,39,16,4
47,40,16,3
48,41,16,2
49,42,16,2
50,39,17,3
51,40,17,2
52,41,17,1
53,42,17,4
54,39,18,2
55,40,18,1
56,41,18,4
57,42,18,3
58,39,19,1
59,40,19,1
60,41,19,2
61,42,19,2
62,39,20,2
63,40,20,2
64,41,20,2
65,42,20,4
66,43,21,3
67,44,21,5
68,45,21,2
69,46,21,1
70,43,22,2
71,44,22,2
72,45,22,3
73,46,22,3
74,43,23,5
75,44,23,5
76,45,23,2
77,46,23,2
78,43,24,4
79,44,24,5
80,45,24,3
81,46,24,3
82,43,25,2
83,44,25,5
84,45,25,2
85,46,25,5
86,47,26,1
87,48,26,3
88,49,26,1
89,50,26,4
90,47,27,2
91,48,27,5
92,49,27,4
93,50,27,5
94,47,28,3
95,48,28,4
96,49,28,3
97,50,28,2
98,47,29,1
99,48,29,5
100,49,29,1
101,50,29,3
102,47,30,5
103,48,30,3
104,49,30,5
105,50,30,3
106,47,31,2
107,48,31,3
108,49,31,4
109,50,31,1
110,51,32,2
111,52,32,5
112,53,32,1
113,54,32,5
114,51,33,3
115,52,33,5
116,53,33,2
117,54,33,2
118,51,34,5
119,52,34,4
120,53,34,3
121,54,34,5
122,51,35,1
123,52,35,5
124,53,35,3
125,54,35,4
126,55,36,2
127,56,36,3
128,57,36,1
129,58,36,1
130,55,37,4
131,56,37,1
132,57,37,2
133,58,37,5
134,55,38,1
135,56,38,5
136,57,38,1
137,58,38,1
138,55,39,2
139,56,39,2
140,57,39,4
141,58,39,2
142,55,40,4
143,56,40,4
144,57,40,3
145,58,40,1
146,55,41,4
147,56,41,3
148,57,41,5
149,58,41,2
150,55,42,5
151,56,42,4
152,57,42,1
153,58,42,2
154,55,43,3
155,56,43,5
156,57,43,4
157,58,43,1
158,55,44,3
159,56,44,4
160,57,44,1
161,58,44,2
162,55,45,3
163,56,45,3
164,57,45,4
165,58,45,4
166,55,46,2
167,56,46,2
168,57,46,5
169,58,46,3
170,55,47,1
171,56,47,5
172,57,47,3
173,58,47,3
174,55,48,4
175,56,48,3
176,57,48,5
177,58,48,2
178,59,49,5
179,60,49,5
180,61,49,5
181,62,49,1
182,59,50,3
183,60,50,5
184,61,50,2
185,62,50,4
186,63,51,3
187,64,51,3
188,65,51,2
189,66,51,1
190,63,52,5
191,64,52,3
192,65,52,3
193,66,52,5
194,63,53,3
195,64,53,2
196,65,53,3
197,66,53,4
198,67,54,4
199,68,54,3
200,69,54,3
201,70,54,5
202,67,55,3
203,68,55,5
204,69,55,1
205,70,55,2
206,67,56,2
207,68,56,4
208,69,56,4
209,70,56,2
210,67,57,1
211,68,57,3
212,69,57,5
213,70,57,2
214,67,58,5
215,68,58,3
216,69,58,3
217,70,58,2
218,71,59,2
219,72,59,1
220,73,59,5
221,74,59,4
222,71,60,1
223,72,60,2
224,73,60,2
225,74,60,5
226,71,61,1
227,72,61,3
228,73,61,5
229,74,61,1
230,71,62,5
231,72,62,2
232,73,62,4
233,74,62,2
234,71,63,4
235,72,63,1
236,73,63,5
237,74,63,4
238,71,64,5
239,72,64,5
240,73,64,4
241,74,64,5
242,71,65,4
243,72,65,4
244,73,65,3
245,74,65,4
246,71,66,2
247,72,66,5
248,73,66,4
249,74,66,5
250,75,67,2
251,76,67,3
252,77,67,5
253,78,67,5
254,75,68,1
255,76,68,3
256,77,68,3
257,78,68,5
258,75,69,5
259,76,69,2
260,77,69,2
261,78,69,5
262,75,70,2
263,76,70,5
264,77,70,1
265,78,70,5
266,75,71,1
267,76,71,1
268,77,71,5
269,78,71,2
270,75,72,3
271,76,72,1
272,77,72,4
273,78,72,4
274,79,73,5
275,79,74,5
276,80,75,3
277,81,75,5
278,82,75,2
279,83,75,3
280,80,76,2
281,81,76,2
282,82,76,4
283,83,76,1
284,80,77,4
285,81,77,1
286,82,77,1
287,83,77,3
288,80,78,5
289,81,78,5
290,82,78,2
291,83,78,3
292,84,79,1
293,85,79,5
294,86,79,4
295,87,79,2
296,84,80,3
297,85,80,2
298,86,80,3
299,87,80,5
